Время (с),Координата X (м),Координата Y (м),Координата Z (м)
371100.0,-11362413.394080177,19239189.709781155,-14352472.971079845
371160.0,-11460949.122892635,19287313.090211872,-14208879.877238885
371220.0,-11558406.155864406,19335185.54000941,-14064197.983489878
371280.0,-11654781.141874004,19382794.855394702,-13918438.37774012
371340.0,-11750070.89889699,19430128.819206566,-13771612.230510935
371400.0,-11844272.414297491,19477175.203085948,-13623730.79408014
371460.0,-11937382.845091159,19523921.76966313,-13474805.401618235
371520.0,-12029399.518179297,19570356.274747457,-13324847.4663182
371580.0,-12120319.930553077,19616466.469519876,-13173868.480519477
371640.0,-12210141.749470145,19662240.102726713,-13021880.014825426
371700.0,-12298862.812600974,19707664.92287567,-12868893.717214966
371760.0,-12386481.128147155,19752728.680432286,-12714921.312148243
371820.0,-12472994.874929788,19797419.13001784,-12559974.599666359
371880.0,-12558402.40244942,19841724.032607205,-12404065.454485198
371940.0,-12642702.230916869,19885631.15772665,-12247205.825083638
372000.0,-12725893.051254414,19929128.285651807,-12089407.732785897
372060.0,-12807973.7250688,19972203.20960415,-11930683.270838434
372120.0,-12888943.28459422,20014843.73794709,-11771044.603481136
372180.0,-12968800.932607256,20057037.69637979,-11610503.965013128
372240.0,-13047546.042311773,20098772.930129807,-11449073.65885321
372300.0,-13125178.157195635,20140037.306142982,-11286766.056594774
372360.0,-13201696.990858171,20180818.71527069,-11123593.597055677
372420.0,-13277102.426808603,20221105.074454293,-10959568.785322824
372480.0,-13351394.518235458,20260884.328906097,-10794704.191791639
372540.0,-13424573.487747518,20300144.454286404,-10629012.451200483
372600.0,-13496639.727085965,20338873.458876282,-10462506.261660157
372660.0,-13567593.796807002,20377059.385746278,-10295198.383678542
372720.0,-13637436.425937125,20414690.31491947,-10127101.639180224
372780.0,-13706168.511598255,20451754.36553003,-9958228.91052169
372840.0,-13773791.118605658,20488239.697975226,-9788593.139501715
372900.0,-13840305.479036469,20524134.516062234,-9618207.326366978
372960.0,-13905712.991770107,20559427.069147903,-9447084.528813554
373020.0,-13970015.22200083,20594105.654271834,-9275237.860983683
373080.0,-14033213.900721012,20628158.618282653,-9102680.492458265
